service;city;state;company_name;phone;address;website;description;services_offered;pricing;google_rating;google_reviews_count;source_url;collected_date;actual_website;cost_range;years_in_business;license_number;insured;bbb_accredited;bbb_rating;service_area;business_hours;email;logo_url
basement waterproofing;Portland;ME;Groundworks;Not provided;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/nh/londonderry/rescon-basement-solutions-llc-reviews-1.htm;Groundworks is North America‚Äôs leading and fastest-growing foundation repair and water management solutions provider. They are a vertically integrated company with their own manufacturing operations and a world-class software solution, allowing effective service to customers. Their mission is to repair, protect, and improve homes.;Concrete Foundation Repair, Foundation Drainage Installation and Replacement, Foundation, Basement or Crawlspace Waterproofing / Encapsulation, Sump Pump Installation, and Repair, among other services;;04.Ë˛Ì¸;26;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.groundworks.com;$475 - $19,000;30 years;Contact business for details;Yes;;;Nationwide in the United States;;;https://img.logo.dev/groundworks.com?token=pk_NFrl5GunTOeNhOmq-xZEIw
basement waterproofing;Portland;ME;Parkway Masonry and Construction INC;Not listed;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/ma/north-andover/parkway-masonry-and-construction-inc-reviews-1.htm;Parkway Masonry and Construction is committed to excellence in every aspect of our business. We uphold a standard of integrity bound by fairness, honesty, and personal responsibility. Our distinction is the quality of service we bring to our customers. Accurate knowledge of our trade combined with ability is what makes us true professionals. Above all, we are watchful of our customers' interests, and make their concerns the basis of our business.;Concrete Flatwork Repair & Resurface, Brick, Stone or Block Wall Repair, Foundation, Basement or Crawlspace Waterproofing / Encapsulation, Emergency services;;04.ﬂÌ‚;8;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.angi.com/companylist/us/ma/north-andover/parkway-masonry-and-construction-inc-reviews-1.htm#reviews;$19,000;5 years;214705;yes;;;North Andover, MA;;;
basement waterproofing;Portland;ME;Basement Improvements, LLC;;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/me/lyman/basement-improvements-llc-reviews-1.htm;We pride our company on reliability, great communication, integrity, and quality work. We are experts in our trade and will do our best to keep you as educated as we can on your particular task or project. We look forward to earning your business!;Crawlspace Encapsulation, Foundation crack repair, Foundation or Basement - Waterproofing, Guardian Perimeter Drains, Sump Pump Systems;;04.‡‚„;23;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.angi.com/companylist/us/me/lyman/basement-improvements-llc-reviews-1.htm;$1,200 - $15,853;8 years;;Yes;;;Lyman, ME;;;
basement waterproofing;Portland;ME;DryLock Systems;(N/A);Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/me/alfred/drylock-systems-reviews-1.htm;Here at Drylock Systems we strongly believe in delivering the highest quality service at an affordable price. We have over 35 years of construction experience. All of our work is 100% guaranteed. We are proud to be accepted as a National Waterproof Members of America certified contractor. We now accept all major credit cards.;Concrete Foundation Repair, Foundation Crack Repairs, Foundation Drainage - Install or Replace, Recovery Service - Water Removal, Sump Pump Installation;;03.‡‚„;68;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.drylocksystems.com;$500-$600;41 years;;Yes;;;Alfred, ME;;;
basement waterproofing;Portland;ME;Octagon Restoration;;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/me/windham/octagon-cleaning-and-restoration-reviews-2187896.htm;Evergreen Air Quality Services specializes in comprehensive indoor air quality inspections and environmental testing, including mold, asbestos, VOC, dust, and bacterial sampling. With over 20 years of experience and rapid 24‚Äì48 hour lab results, they provide impartial assessments for residential, commercial, and institutional properties in Maine and New Hampshire.;We provide mold remediation, water damage restoration, carpet cleaning, air duct cleaning, and more for Residential and Commercial properties.;;04.Ë˛Î¸;96;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.octagonrestoration.com;$99 - $9,800;24 years;;Yes;;;Maine and New Hampshire;;;https://img.logo.dev/octagonrestoration.com?token=pk_NFrl5GunTOeNhOmq-xZEIw
basement waterproofing;Portland;ME;DryLock Systems of New England;Not provided;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/me/alfred/drylock-systems-of-new-england-reviews-156460574.htm;DryLock Systems is a family owned business with over 30 years of construction experience. We are specialists in wet basement repair, and to this date have a 100% satisfaction rate. We love what we do and it shows. Whether you have a small crack in your foundation or a major water issue you can trust that we have the experience and expertise to fix it. We offer 5% Senior and Veteran discounts. We also offer emergency basement pumping and sump pump installations and service.;Concrete Flatwork - Repair & Resurface, Poured Concrete Wall Service, Concrete Foundation Installation, Basement Make-Overs, Living Space Construction, Concrete Floor Coatings, Concrete Repairs, Foundation Crack Repairs, Foundation Wall Waterproofing, French Drains, Garage & Basement Floor Repairs, Iron Bacteria Repairs, Sump Pumps, Under Floor, Wet Ledge;;04.ÙÂ‚;9;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.drylocksystems.com;$400 - $3,000;30;DBA- Ryder Construction;Yes;;;New England;;;
basement waterproofing;Portland;ME;Marshall Home Pros;Not provided;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/me/old-orchard-beach/marshall-home-pros-reviews-156426016.htm;General Contracting / Home Remodeling Pro's. From the ground up inside and out we have you covered. We have the Best customer service and Best Quality workman In Maine and New Hampshire. If your are looking for a full service company then contact us today!;Azek Installation, Decks (including composite), Door Installation, Hardscapes - Patios & Walkways, Lawn Care, Roofing, Siding, Window Installation, asphalt sealcoating, basement remodeling, closets, concrete slabs for foundations, custom bathroom remodeling, kitchen remodel, leaf removal, pavement repair, roof ice & snow removal;;03.‡‚„;130;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.marshallhomepros.com;Prices by Hr or by the job;26 years;Not provided;Yes;;;Maine and New Hampshire;;;https://img.logo.dev/marshallhomepros.com?token=pk_NFrl5GunTOeNhOmq-xZEIw
basement waterproofing;Portland;ME;J.Wilson Masonry;;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/me/gray/jwilson-masonry-reviews-67293191.htm;J. Wilson Masonry is committed to excellence in every aspect of our business. We uphold a standard of integrity bound by fairness, honesty, and personal responsibility. Our distinction is the quality of service we bring to our customers. Accurate knowledge of our trade combined with ability is what makes us true professionals. Above all, we are watchful of our customers' interests and make their concerns the basis of our business.;Brick, Block and Stone Foundation Pointing, Repairs and Rebuilds, Brick, Concrete and Stone Step Repairs and Installs, Chimney Pointing and Repairs, Chimney Flashing and Water proofing, Concrete Foundation, Sills & Slab Crack Filling & Repairs, Stone and Stainless Steel Chimney Cap Installs & Repairs, Chimney Liner Installs;;04.‡‚„;9;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.angi.com/companylist/us/me/gray/jwilson-masonry-reviews-67293191.htm;;11 years;;;;;;;;
basement waterproofing;Portland;ME;New England Foundation Crack Repair;833-632-7225;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/ma/north-oxford/new-england-foundation-crack-repair-reviews-9680831.htm;New England Foundation Crack Repair was founded with the sole purpose of providing economically sound solutions for you and your home while adhering to high safety standards and operating with honesty and integrity. We strive to ensure all of our clients needs are not only met, but exceeded, ensuring all our customers are left with a satisfying experience as well with a solid investment in their home's future.;Concrete Flatwork - Repair & Resurface, Poured Concrete Wall Service, Concrete Foundation Installation, Wall Crack Repair, Floor Crack Repair, Floor To Wall Seam Repair, Cold Joint Repair, Bulkhead waterproofing, Stone Repoint, Pipe Penetration.;;5;4;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;;$3,000;;;Yes;;;;;;
basement waterproofing;Portland;ME;Post Construction Facebook;Not provided;Serving Portland, ME and surrounding areas;https://www.angi.com/companylist/us/me/biddeford/post-construction-facebook-reviews-106869246.htm;With over 15 years of experience in the General Contracting, J&A General Contracting is from Oakland, Maine and all the surrounding areas. We pride ourselves with our professional and attention to our work and make sure the job is done right and make sure every customer is happy and satisfied with our work.;Asphalt, rubber roofing, Framing, Painting, Remodels, Windows and doors, window cleaning;;04.Ï‡Ú;12;https://www.angi.com/companylist/us/me/portland/basement-waterproofing.htm;05.06.2026;https://www.angi.com/companylist/us/me/biddeford/post-construction-facebook-reviews-106869246.htm;$150 - $2000;15;Not provided;Yes;;;Oakland, Maine and surrounding areas;;;
